Key	English	EnglishUnitedKingdom	Korean	Japanese	ChineseSimplified	ChineseTraditional	Russian	German	French	FrenchCanadian	Spanish	SpanishMexican	SpanishArgentina	Polish	PortugueseBrazilian	Portuguese	Italian	Dutch	Turkish
GodMode	God Mode	God Mode	무적 모드	無敵モード	无敌模式	無敵模式	Режим бога	Gottmodus	Mode Dieu	Mode Dieu	Modo Dios	Modo Dios	Modo Dios	Tryb Boga	Modo Deus	Modo Deus	Modalità Dio	Godmodus	Tanrı Modu
InfiniteGems	Infinite Gems	Infinite Gems	무한 젬	ジェム無限	无限宝石	無限寶石	Бескон. кристаллы	Unendl. Edelsteine	Gemmes infinies	Gemmes infinies	Gemas infinitas	Gemas infinitas	Gemas infinitas	Niesk. klejnoty	Gemas infinitas	Gemas infinitas	Gemme infinite	Eindeloze edelstenen	Sonsuz Gemler
InfiniteSkullCoins	Infinite Skull Coins	Infinite Skull Coins	무한 골든 스컬	スカルコイン無限	无限骷髅币	無限骷髏幣	Бескон. монеты черепа	Unendl. Totenkopfm.	Crânes infinis	Crânes infinis	Calaveras infinitas	Calaveras infinitas	Calaveras infinitas	Niesk. czaszki	Caveiras infinitas	Caveiras infinitas	Teschi infiniti	Eindeloze schedels	Sonsuz Kafatası
MaxStats	Max Stats	Max Stats	전체 스탯 최대화	全ステータス最大化	全属性最大化	全屬性最大化	Макс. характ-ки	Max. Werte	Stats max.	Stats max.	Stats al max.	Stats al max.	Stats al max.	Maks. statystyki	Stats máx.	Stats máx.	Stat al massimo	Max. statistieken	Max İstatistikler
SpeedHack	Speed Hack	Speed Hack	이동속도 배율	移動速度倍率	移速倍率	移速倍率	Ускорение	Geschw.-Hack	Vitesse x	Vitesse x	Truco de velocidad	Truco de velocidad	Truco de velocidad	Przyspieszenie	Hack de velocidade	Hack de velocidade	Velocità x	Snelheidshack	Hız Hilesi
OneShotKill	One-Shot Kill	One-Shot Kill	원샷킬	一撃必殺	一击必杀	一擊必殺	Убийство с одного удара	Ein-Treffer-Kill	Un coup mortel	Un coup mortel	Matar de un golpe	Matar de un golpe	Matar de un golpe	Zabij jednym ciosem	Matar com um golpe	Matar com um golpe	Uccisione in un colpo	Één klap doden	Tek Vuruşla Öldürmek
NoCooldown	No Cooldown	No Cooldown	쿨다운 제거	クールダウン除去	冷却消除	冷卻消除	Без перезарядки	Kein Cooldown	Sans recharge	Sans recharge	Sin enfriamiento	Sin enfriamiento	Sin enfriamiento	Bez cooldownu	Sem recarga	Sem recarga	Senza attesa	Geen cooldown	Bekleme Yok
InfiniteRevive	Infinite Revive	Infinite Revive	무한 부활	無限復活	无限复活	無限復活	Бескон. возрождение	Unendl. Wiederbelebung	Revie infini	Revie infini	Revivir infinito	Revivir infinito	Revivir infinito	Niesk. wskrzeszenie	Reviver infinito	Reviver infinito	Rinascita infinita	Eindeloze heropleving	Sonsuz Canlanma
InfiniteAway	Infinite Away	Infinite Away	무한 추방기	無限追放	无限放逐	無限放逐	Бескон. изгнание	Unendl. Verbannung	Exil infini	Exil infini	Exilio infinito	Exilio infinito	Exilio infinito	Niesk. wygnanie	Exílio infinito	Exílio infinito	Esilio infinito	Eindeloze verbanning	Sonsuz Sürgün
SpeedLabel	Speed: {0}×	Speed: {0}×	속도 배율: {0}×	速度倍率: {0}×	速度倍率: {0}×	速度倍率: {0}×	Скорость: {0}×	Geschw.: {0}×	Vitesse : {0}×	Vitesse : {0}×	Velocidad: {0}×	Velocidad: {0}×	Velocidad: {0}×	Prędkość: {0}×	Velocidade: {0}×	Velocidade: {0}×	Velocità: {0}×	Snelheid: {0}×	Hız: {0}×
ForceLevelUp	Force Level Up	Force Level Up	레벨업 강제	強制レベルアップ	强制升级	強制升級	Принуд. повышение	Level erzwingen	Monter niveau	Monter niveau	Subir nivel	Subir nivel	Subir nivel	Wymuś poziom	Forçar nível	Forçar nível	Forza livello	Level omhoog	Zorla Seviye
AddGems	Add 999,999 Gems	Add 999,999 Gems	젬 999999 즉시 지급	ジェム 999999 獲得	获得 999999 宝石	獲得 999999 寶石	Дать 999999 кристаллов	999999 Edelsteine geben	Donner 999999 gemmes	Donner 999999 gemmes	Dar 999999 gemas	Dar 999999 gemas	Dar 999999 gemas	Daj 999999 klejnotów	Dar 999999 gemas	Dar 999999 gemas	Dai 999999 gemme	Geef 999999 edelstenen	999999 Gem Ver
AddSkullCoins	Skull Coins +999	Skull Coins +999	골든 스컬 +999	スカルコイン +999	骷髅币 +999	骷髏幣 +999	Монеты черепа +999	Totenkopfm. +999	Crânes +999	Crânes +999	Calaveras +999	Calaveras +999	Calaveras +999	Czaszki +999	Caveiras +999	Caveiras +999	Teschi +999	Schedels +999	Kafatası +999
HealFull	Full Heal	Full Heal	HP 즉시 풀충전	HP全回復	HP 立即满	HP 立即滿	Полное лечение	Sofort heilen	Soin complet	Soin complet	Curar completamente	Curar completamente	Curar completamente	Pełne leczenie	Cura completa	Cura completa	Cura completa	Volledig genezen	Tam İyileştirme
